Name,Gender,pronunciation,Type,Sub-type,Igbo Orthography,Translation,Meaning,Related Names,Notes,Famous persons,Name Spread,Ndebe Script
Umeohaka,,,,,/Ume-Ohaka/ Proper rendering is Ume-?haka. See Ozo for context,,,,,,,
Umeokonkwo,,,,,/?me-okonkw?/ Proper rendering is Ume-Okonkwo. See Ozo for context,,,,,,,
Umeononigwe,,,,,/Ume-?n?-na-igwe/ Proper rendering is Ume-Ononigwe. See Umeh or Ozo for context,,,,,,,
Umeora,,,,,/?me-?ra/ 1. A noble man loved by the people. 2. possibly a short for Ume-Orakaeze,,,,,,,
Umerah,,,,,/Ume-ra/ Let miscarriage/failure to give birth let me be,,,,,,,
Umeugo,,,,,/?me-?go/ Proper rendering is Ume-Ugo. See Ozo for context,,,,,,,
Umeze,,,,,/Ume-eze/ Proper rendering is Ume-Eze. See Ozo for context,,,,,,,
Umunna,,,,,/?m?-nna/lit. Children of (my) father. imp: People you share a common kinship with.,,,,,,,
Unachukwu,,,,,,,,,,,,
Uwaezuoke,,,,,/?wa-ezugh?-oke/ The world is not enough,,,,,,,
Uwaleke,,,,,,,,,,,,
Uwazurike,,,,,/?wa-zuru-ike/ Let the world should rest (from its strife),,,,,,,
Uwechue,,,,,,,,,,,,
Uyanwa,,,,,"/?ya-Nwa/ Grief over a child. Grief over failure to bear a child. See: Nwuya, Umenwa",,,,,,,
Uyanwune,,,,,/?ya-nwune/ Grief for a sibling,,,,,,,
Uzo,,,,,/?z?/ Path or Road,,,,,,,
Uzoamaka,,,,,/?z?-amaka/ lit: The path is beautiful. imp: A fruitful path or journeyor endeavor.,,,,,,,
Uzochukwu,,,,,/?z?-Chi-ukwu/ God's way/path,,,,,,,
Uzoechina,,,,,"/?z?-echina/ May my paths (to wealth) never cease or become unprofitable. See also Eziechina, Amaechina, Obodoechina",,,,,,,
Uzoegbunam,,,,,/Uz?-egbuna-m/ May the paths (I take) not bring me death. As prayer for successful itineration for one constantly on the road,,,,,,,
Uzoekwe,,,,,/?z?-ekwe/ The paths have agreed.,,,,,,,
Uzoh,,,,,/?z?/ Path or Way,,,,,,,
Uzoma,,,,,/?z?-?ma/lit: A good path. imp: A prosperous/ fruitful path,,,,,,,
Uzumma,,,,,/?z?-mma/ A beautiful work of smithing,,,,,,,
Wabara,,,,,Child of Agbara. A dialectal var of Nwagbara,,,,,,,
Wigwe,,,,,A dialectal var. of Nwigwe,,,,,,,
Zimuzo,,,,,/Zim-?z?/ Teach or Show me the way,,,,,,,
Zinobia* Achebe's Sister,,,,,,,,,,,,
Ziora,,,,,/Zi-?ra/,Teach or Show the people.,,,,,,
Zelunjo,,,,,/Zelu-njo/,Avoid Sin,,,,,,
